epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2032.08,0.99011,0.8108,1.17702,0.95865,0.957,0.97678,0.66174,1.00879,0.44707,0.89685,0.005743,0.005743,0.005743
45,2078.54,0.9935,0.81137,1.1786,0.95531,0.95404,0.97584,0.66457,0.99845,0.44738,0.8935,0.005644,0.005644,0.005644
46,2123.89,0.98474,0.80683,1.17746,0.96371,0.94958,0.97603,0.67274,0.97917,0.44237,0.89038,0.005545,0.005545,0.005545
47,2169.97,0.98089,0.80331,1.17395,0.9553,0.95757,0.97495,0.6763,0.97798,0.43902,0.88987,0.005446,0.005446,0.005446
48,2216.58,0.97461,0.79484,1.17192,0.96539,0.94493,0.97809,0.6783,0.97074,0.43552,0.88858,0.005347,0.005347,0.005347
49,2262.35,0.9799,0.79729,1.17057,0.95502,0.9616,0.97731,0.67766,0.96172,0.43039,0.8879,0.005248,0.005248,0.005248
50,2308.28,0.97411,0.79313,1.17076,0.95853,0.9611,0.97848,0.67929,0.96825,0.43115,0.8885,0.005149,0.005149,0.005149
51,2354.56,0.96939,0.79236,1.16833,0.95772,0.96091,0.97754,0.6798,0.96431,0.43039,0.88737,0.00505,0.00505,0.00505
52,2400.47,0.96503,0.78846,1.1652,0.96076,0.95778,0.97754,0.6767,0.97488,0.43036,0.88929,0.004951,0.004951,0.004951
53,2446.93,0.96031,0.7824,1.16241,0.96249,0.95736,0.97755,0.67862,0.96178,0.42809,0.88647,0.004852,0.004852,0.004852
54,2492.65,0.95879,0.78309,1.16579,0.96074,0.95908,0.97737,0.67978,0.95723,0.42711,0.88533,0.004753,0.004753,0.004753
55,2538.7,0.94994,0.77394,1.1587,0.96419,0.95566,0.97633,0.68107,0.96015,0.42595,0.88668,0.004654,0.004654,0.004654
56,2585.06,0.954,0.77241,1.16041,0.96484,0.95679,0.97759,0.68121,0.96565,0.42584,0.88697,0.004555,0.004555,0.004555
57,2630.81,0.94925,0.76721,1.15626,0.96338,0.95811,0.97655,0.68337,0.96525,0.425,0.88673,0.004456,0.004456,0.004456
